model,context,dataset,id,sentence,sent_shuffle,true_label,pred_original,pred_shuffle,change_type,has_discourse_marker,has_hedging,has_causal_structure,has_contrastive,claim_premise_structure,notes
ministral-14b-latest,c1,AFS,AFS-dev-6,"So, the only reason I can really see why people support the death penalty is to have simple vengeance against the perpretrator.","perpretrator. can only to people death have against really penalty vengeance is support the the I simple see why So, reason the",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-7,All citizens are protected under the law for equal treatment.,for protected are equal the law treatment. under All citizens,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-8,"While figures over the previous 25 years showed a steady decrease in armed robbery with firearms, this has changed drastically upward in the past 12 months, since criminals now are guaranteed that their prey is unarmed.","steady armed 25 criminals their drastically guaranteed months, the since that decrease in now a upward this unarmed. years 12 While is robbery changed over prey are in the past previous with firearms, has figures showed",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-9,I realize they both achieve a similiar result but punishment is a part of justice and sometimes the removable of the most valued right (in my opinion) is justified.,removable justice is valued most similiar a part a and punishment (in of justified. sometimes opinion) realize of they the is achieve my result but right I both the,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-10,"Also, the death penalty in the US isn't a painful, public spectacle.","isn't the death a painful, US spectacle. penalty in Also, the public",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-11,The necessity of becomming a hardcore prisoner to survive decreases.,to becomming of survive hardcore prisoner decreases. a The necessity,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-12,In the time you have been here you have proven exactly one the many claims you have made; that being that the state of Georgia attempted to ban handgun ownership in 1837.,to been exactly you attempted one state here being the have proven handgun claims Georgia that in the many that time made; the you ownership have ban 1837. have of In you,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-13,Any deterent value that the death penalty brings to the table is simply a nice side effect.,brings table death penalty side nice a the to deterent value simply effect. the is Any that,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-14,"Yes, we should have a speedier route to the needle.","to have should the speedier route needle. a Yes, we",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-15,"But why not put him in a 6x6 cell, no tv, no outside contact, no magazines: just him and 4 walls, a meal a day and a grate in the floor for bodily needs.","in 4 walls, outside day in magazines: tv, just no a no and no cell, the a meal But bodily contact, and not for grate a put a him floor needs. him why 6x6",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-172,"Now the courts have held in some instances, the right to keep and bear arms is an individual right and in some instances, it is a states right.","right an to some right. some in keep arms right is and and is a the bear courts individual states held instances, instances, the it Now have in",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-174,Feudal lords had the right to the virginity of every young girl in their fiefdom.,of their virginity the fiefdom. in to had every the right girl Feudal lords young,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-176,"But if we as a people could truly call ourselves good, it would not be.","call not truly could be. would people we ourselves as a it But if good,",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-178,"It's very dangerous precedent to suggest that in cases where there's only one witness/victim that a conviction isn't fair, just, or whatever choice of wording one might use.","fair, conviction there's whatever use. that suggest only that where wording one just, a one very witness/victim dangerous isn't might to choice in cases of It's precedent or",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-179,"First you state you don't want ""influencing"", then in the next breath criticize me for believing I am the ""ONLY"" one who should influence government.","I criticize the ""ONLY"" the ""influencing"", want next believing who breath am you for should me state influence don't government. then in First you one",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-180,"Any parent who ""beats the shit"" out of their kid, is too far gone to wonder why the kid is violent.","is shit"" to the kid, gone wonder kid out far the is parent too who why of their Any ""beats violent.",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-181,"Germans would not invade countries with armed citizens, mandated by law to have access to weapons, real weapons not just single shot.","shot. with not weapons, by have real just armed access not to law would to countries weapons citizens, mandated Germans invade single",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-182,It serves both his own interests AND the State's.,his AND the own State's. both interests It serves,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-183,"If you don't want parents to be judged, the mother and father should have different cars.","judged, mother to be different and should the you don't have cars. parents father If want",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-184,The government should be a tool through which the will of some segment of the population is fulfilled.,of segment a will tool which is through of population government some should the fulfilled. the The be,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-185,Louisiana meanwhile has many factors which lead to its place on the list.,to lead has place list. which the its many factors Louisiana meanwhile on,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-2,"As shown in Figure 9 , we can also model highly deformable, sticky objects that interact with each other.","that objects 9 model , interact each we sticky with highly shown deformable, in other. can also As Figure",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-4,"Finally, precomputation of the force polynomial coefficients in Eqn. (7) can be significant in case of StVK models, but never prohibitive.","never polynomial case force (7) in of but coefficients significant models, can precomputation be of StVK in Eqn. Finally, the prohibitive.",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-6,Realistic deformation is a complex and subtle phenomenon due to the tightly coupled interplay of bones and musculature governing the deformations.,the and of complex to interplay bones governing subtle coupled musculature the deformation tightly is and phenomenon due Realistic a deformations.,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-7,"While this would be problematic when using a multi-step differential equation solver which expects continuity (such as a RungeKutta method), it should not interfere with a one-step solver such as the backward Euler method.","when method), it which with such (such equation as solver one-step continuity a differential multi-step as using not While Euler expects RungeKutta would backward solver should be interfere problematic the method. a this a",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-10,"The first model is based on the work of Stam 
[Sta97] and calculates the numerical solution of the Navier-Stokes equation with a semi-Lagrangian approach.",solution on Navier-Stokes approach. the [Sta97] the and numerical of first calculates a the Stam model semi-Lagrangian based equation work of The is with,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-11,"Instead, we define internal behavior by formulating a vector condition C(x) which we want to be zero, and then defining the associated energy as k C(x) T C(x) where k is a stiffness constant.","by defining the we k where be C(x) zero, which T to C(x) condition vector k formulating energy Instead, stiffness want then define a C(x) associated internal as behavior is constant. and we a",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-15,"It turns out that the number of different non-trivial joint sets, and therefore the number of running the SVD, is surprisingly small for common models – about several tens.","SVD, number sets, for small of number therefore and of joint models is tens. running about turns the out the several the – different non-trivial common It that surprisingly",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-173,Interpolation synthesis of articulated figure motion.,articulated synthesis of figure Interpolation motion.,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-178,Equation 2 gives us the difference in joint position and body velocity.,joint difference gives position and in velocity. us the Equation 2 body,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-179,Optimality principles for model-based prediction of human gait.,model-based prediction human gait. for of Optimality principles,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-181,"Thus we have a total of five measurements per cloth sample that will be used for parameter fitting (two stretch, one shear, and two bending).","parameter will cloth stretch, (two five of sample for shear, that fitting we used and be have two total bending). measurements per Thus a one",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-183,"In order to evaluate the third term pr physics , we first use backward difference to compute joint velocities and use central difference to compute joint accelerations.","compute use , accelerations. and term third we to difference first velocities order difference compute backward to joint joint the central pr physics to In evaluate use",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ARGUMINSCI,ARGUMINSCI-dev-185,Optimized spatial hashing for collision detection of deformable objects.,for of deformable collision objects. hashing detection Optimized spatial,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-1,"I think when we look at the bridges for revenue, and obviously units are a key driver of revenue, things like Prime are key in that bridge.","driver units revenue, bridge. things the at and key are obviously revenue, think a in are when of that look Prime bridges for key I we like",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-3,"When I talk about the premium services mix, in our Office Commercial 365 business being about 60%, that is what's driving whether that's the mix shift to E3 or ultimately to E5 you will continue to see and have headroom in that number but you are right, we are encouraged by the ARPU growth and the value proposition that has customers choosing the premium SKUs and continuing to choose those premium SKUs over time.","and is see in mix, that premium has but headroom about SKUs value to ARPU ultimately are the continuing what's driving in by talk the premium growth encouraged the proposition shift 60%, will that's we mix the services number choosing our right, whether E3 Office When choose and those customers to continue you that are 365 SKUs I have you time. to premium over the and Commercial business that or E5 to about being",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-8,We're starting to see the benefit of that already in our top line numbers.,already line that of numbers. top benefit to in see the We're starting our,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-10,"We are honing the businesses that we're in and making them as efficient, as profitable as possible while also investing very pointedly and very wisely, we believe, in things that will enhance customer experience and create lasting businesses for us down the line.","making the them believe, for also line. we businesses experience and as that pointedly efficient, wisely, lasting businesses customer as very very things us will investing possible the create enhance We honing in that and we're and profitable as while are in down",Argument,No-Argument,Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-12,"Really, Karl, what can drive that in addition to the overall gross margin improvement we talk about in the cloud, it's also really the strength we see in our Windows business.","cloud, we overall strength in in that margin gross talk the see business. really about our Karl, improvement the what in also Windows drive we addition to the Really, can it's",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-13,So I guess what I'm saying is I just expect some of this to land in this year.,to this I'm expect saying I this is some in I of guess land year. just So what,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-14,So I feel good that we're staying on the trajectory that we showed in the projections.,on trajectory we're staying the that showed the I feel in projections. that we So good,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-15,"And so we think the mix shift to Stories is a big opportunity for us and it's going to take time to continue to get advertisers in, but we're very happy with demand to date.","is opportunity mix time with continue very it's in, get us a big but Stories take happy shift advertisers And to for to we demand we're to think to the date. and going so to",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-171,But that’s about $100 million impact that we would not have seen before that.,would before we that that. seen impact about not $100 million But that’s have,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-172,"And really when you look around the world, it's really if you exclude China, essentially every single currency has weakened against the dollar.","single every when essentially around China, currency exclude dollar. the really really weakened you if the look has world, it's And you against",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-178,"You can see the – in our supplemental revenue disclosure, it's in other revenue, and it's the majority of the other revenue in that line item.","the other disclosure, item. the our in it's it's in in of can and that revenue, see majority line – revenue supplemental revenue You the other",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,FINARG,FINARG-dev-181,What I can tell you there is we still think there's a lot of room in Prime.,we there's there is in room of think still I can lot Prime. you a What tell,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
